#SUBARU CENTER	
#Wavelength (A)	%T
23048.00049  86.2101059
23046.00098  86.20018768
23043.99902  86.21431732
23041.99951  86.22658539
23040.0  86.22930145
23038.00049  86.22854614
23036.00098  86.22514343
23033.99902  86.2413559
23031.99951  86.234375
23030.0  86.23233032
23028.00049  86.25431824
23026.00098  86.24755096
23023.99902  86.22865295
23021.99951  86.24620819
23020.0  86.22689819
23018.00049  86.24102783
23016.00098  86.25508881
23013.99902  86.23881531
23011.99951  86.23480988
23010.0  86.24182129
23008.00049  86.24430084
23006.00098  86.24838257
23003.99902  86.25522614
23001.99951  86.23780823
23000.0  86.24885559
22998.00049  86.2407074
22996.00098  86.2474823
22993.99902  86.23039246
22991.99951  86.24745178
22990.0  86.2304306
22988.00049  86.22460175
22986.00098  86.22904205
22983.99902  86.2256546
22981.99951  86.22353363
22980.0  86.21013641
22978.00049  86.24180603
22976.00098  86.21463013
22973.99902  86.21269989
22971.99951  86.20566559
22970.0  86.19200897
22968.00049  86.18961334
22966.00098  86.18609619
22963.99902  86.17868805
22961.99951  86.18092346
22960.0  86.16564178
22958.00049  86.16946411
22956.00098  86.15821838
22953.99902  86.13696289
22951.99951  86.16113281
22950.0  86.12762451
22948.00049  86.13794708
22946.00098  86.1339035
22943.99902  86.11351776
22941.99951  86.09538269
22940.0  86.11581421
22938.00049  86.10311127
22936.00098  86.07138824
22933.99902  86.08877563
22931.99951  86.06806946
22930.0  86.07353973
22928.00049  86.03887939
22926.00098  86.02597046
22923.99902  86.01717377
22921.99951  86.0198822
22920.0  85.99420929
22918.00049  85.98782349
22916.00098  85.974617
22913.99902  85.97386169
22911.99951  85.95449066
22910.0  85.94625092
22908.00049  85.94123077
22906.00098  85.92053986
22903.99902  85.9203186
22901.99951  85.90071106
22900.0  85.90957642
22898.00049  85.88851929
22896.00098  85.89047241
22893.99902  85.85844421
22891.99951  85.86408997
22890.0  85.84532928
22888.00049  85.80431366
22886.00098  85.81356812
22883.99902  85.79499054
22881.99951  85.78042603
22880.0  85.78132629
22878.00049  85.76541901
22876.00098  85.74676514
22873.99902  85.73413086
22871.99951  85.71557617
22870.0  85.69744873
22868.00049  85.69145966
22866.00098  85.67472839
22863.99902  85.64611816
22861.99951  85.63566589
22860.0  85.61991882
22858.00049  85.60860443
22856.00098  85.61480713
22853.99902  85.58283234
22851.99951  85.57376862
22850.0  85.55651093
22848.00049  85.5510025
22846.00098  85.52732086
22843.99902  85.51416016
22841.99951  85.49452209
22840.0  85.51129913
22838.00049  85.47149658
22836.00098  85.44315338
22833.99902  85.44067383
22831.99951  85.4284668
22830.0  85.40059662
22828.00049  85.38568878
22826.00098  85.35945129
22823.99902  85.35525513
22821.99951  85.3380661
22820.0  85.32139587
22818.00049  85.29386139
22816.00098  85.29669189
22813.99902  85.27953339
22811.99951  85.25212097
22810.0  85.23321533
22808.00049  85.22724152
22806.00098  85.19941711
22803.99902  85.20307922
22801.99951  85.16391754
22800.0  85.15969849
22798.00049  85.12700653
22796.00098  85.12606049
22793.99902  85.08816528
22791.99951  85.10931396
22790.0  85.07874298
22788.00049  85.05556488
22786.00098  85.02651978
22783.99902  85.01008606
22781.99951  85.00027466
22780.0  84.9916153
22778.00049  84.96486664
22776.00098  84.92999268
22773.99902  84.94793701
22771.99951  84.9196701
22770.0  84.89762115
22768.00049  84.87820435
22766.00098  84.87545013
22763.99902  84.84120178
22761.99951  84.81958008
22760.0  84.81372833
22758.00049  84.78945923
22756.00098  84.78378296
22753.99902  84.76010132
22751.99951  84.76291656
22750.0  84.73058319
22748.00049  84.7027359
22746.00098  84.68244934
22743.99902  84.66693878
22741.99951  84.6591568
22740.0  84.63896179
22738.00049  84.61593628
22736.00098  84.59655762
22733.99902  84.57966614
22731.99951  84.55127716
22730.0  84.54411316
22728.00049  84.52696991
22726.00098  84.52038574
22723.99902  84.5040741
22721.99951  84.47988892
22720.0  84.45544434
22718.00049  84.44720459
22716.00098  84.41777802
22713.99902  84.4176178
22711.99951  84.39381409
22710.0  84.39953613
22708.00049  84.35408783
22706.00098  84.35321808
22703.99902  84.32854462
22701.99951  84.30445099
22700.0  84.29912567
22698.00049  84.27433014
22696.00098  84.25575256
22693.99902  84.24474335
22691.99951  84.23300934
22690.0  84.19376373
22688.00049  84.18301392
22686.00098  84.16950226
22683.99902  84.14816284
22681.99951  84.14640808
22680.0  84.13343048
22678.00049  84.11235809
22676.00098  84.08304596
22673.99902  84.08635712
22671.99951  84.06904602
22670.0  84.05182648
22668.00049  84.02199554
22666.00098  84.00791931
22663.99902  84.00012207
22661.99951  83.97732544
22660.0  83.98039246
22658.00049  83.94720459
22656.00098  83.92635345
22653.99902  83.90965271
