# ED537	MKO Y 1020/100nm HP: 970-1070nm	
# Information in red is the Room temp (298K) measured data for the delivered 80mm diameter filter	
#		
# ED537-1		ED537-2
# 80mm Dia X 5mm Thick		
# Measured at Center of part		
#	298K	298K
#peakT%	79.14382172	79.30427551
#Cut-on:	974.16	973.89
#Cut-off:	1071.54	1071.88
#wl(nm)	T%	T%
1010.5	74.60497284	74.64606476
1010.25	74.65595245	74.66750336
1010	74.62935638	74.68113708
1009.75	74.60311127	74.61977386
1009.5	74.56163025	74.62397003
1009.25	74.50888824	74.52770996
1009	74.47694397	74.49762726
1008.75	74.52728271	74.55042267
1008.5	74.45845032	74.46002197
1008.25	74.42735291	74.40522003
1008	74.40300751	74.41024017
1007.75	74.35697937	74.37230682
1007.5	74.38195801	74.37892914
1007.25	74.36755371	74.34432983
1007	74.25905609	74.26078033
1006.75	74.26216888	74.35945892
1006.5	74.24411774	74.21774292
1006.25	74.17103577	74.18524933
1006	74.2041626	74.20328522
1005.75	74.2169342	74.19140625
1005.5	74.18480682	74.2381897
1005.25	74.10726929	74.06607056
1005	74.07887268	74.07377625
1004.75	74.10066986	74.16100311
1004.5	74.1233139	74.05967712
1004.25	74.01760101	74.05502319
1004	73.99936676	74.0123291
1003.75	73.97263336	73.97583008
1003.5	73.99829865	73.97715759
1003.25	73.95853424	73.9597168
1003	73.93423462	73.97116852
1002.75	73.98022461	73.95214081
1002.5	73.90908813	73.97349548
1002.25	73.93434906	73.94839478
1002	73.92813873	74.00476837
1001.75	73.90861511	73.92645264
1001.5	73.91491699	73.98423767
1001.25	73.85909271	73.93584442
1001	73.92371368	74.07318115
1000.75	73.93267822	73.97247314
1000.5	73.87483978	73.95780182
1000.25	73.86930084	74.03699493
1000	73.88045502	73.99827576
999.75	73.92343903	74.02345276
999.5	73.89543915	74.08182526
999.25	73.9151001	74.13841248
999	73.92118073	74.14151001
998.75	73.91493988	74.09145355
998.5	73.91496277	74.07051086
998.25	73.9012146	74.16565704
998	73.90106201	74.06660461
997.75	73.89205933	74.13409424
997.5	73.92964935	74.14186859
997.25	73.88393402	74.14992523
997	73.94728088	74.23194885
996.75	73.93571472	74.20055389
996.5	73.91999817	74.21253204
996.25	73.92634583	74.25205231
996	73.89376831	74.15505981
995.75	73.94163513	74.26638794
995.5	73.91316223	74.24204254
995.25	73.8631134	74.153862
